,formula_label,symbol_set,subject
2176,Value product,"{o, c, G, P, f, s, +, C, O, n, p, S, r, u, t, V, =}",Society
2177,Van Houtum distribution,"{a, b, ), =, +, p, (, δ}",Life sciences
2178,Van Hove singularity,"{k, L, n, λ, π, =}",Physical sciences
2179,Van der Pol oscillator,"{d, ), (, +, μ, t, x, −, =}",Life sciences
2180,Van der Waals equation,"{a, b, ), (, k, p, ′, T, v, −, =, +}",Life sciences
2181,Van der Waerden's theorem,"{), (, k, ,, /, W, ε, >}",Life sciences
2182,Vandermonde polynomial,"{∏, i, (, ≤, j, n, ), V, X, −, =, <}",Life sciences
2183,Vantieghems theorem,"{≡, ∏, ), (, k, n, −, ≤, mod}",Life sciences
2184,Vapnik–Chervonenkis theory,"{Q, ∫, =, d, f}",Life sciences
2186,Variable kernel density estimation,"{ln, (, ), ≈, ⁡}",Applied sciences
2187,Varian's theorems,"{A, ), (, +, ,, u, y, x, =}",Life sciences
2188,Vector algebra relations,"{A, =, +, ∥}",Life sciences
2189,Vector area,"{S, ^, =, n}",Life sciences
2190,Vector calculus identities,"{A, ), (, =, ∇, ⁡, grad}",Life sciences
2191,Vector optimization,"{∈, C, min, ), (, f, S, ⁡, x}",Life sciences
2193,Vehicle-specific power,"{a, g, ψ, ), =, +, V, ⁡, P, S, (, v, ϕ, ×, sin, ζ}",Applied sciences
2194,Venn diagram,"{∈, −, i, (, ≤, N, ), ⁡, y, x, n, =, sin}",Life sciences
2195,Versor,"{i, ), =, ,, (}",Life sciences
2196,Vickers hardness test,"{A, d, ), (, /, ∘, ⁡, =, sin}",Applied sciences
2197,View factor,"{F, i, j, n, →, S, ∑, =}",Physical sciences
2199,Virasoro algebra,"{c, ], ), (, +, =, m, L, n, [, −, δ, ,}",Physical sciences
2200,Virbhadra–Ellis lens equation,"{−, D, ), =, +, θ, s, (, ⁡, [, α, tan, ^, ], β, d}",Physical sciences
2201,Virtual displacement,"{None, δ, ∂, ϵ, =, |}",Physical sciences
2202,Vis viva,"{i, ∑, m, v}",Categories by parameter
2203,Viscosity solution,"{D, F, ), (, ,, u, x, =}",Life sciences
2204,Vitale's random Brunn–Minkowski inequality,"{∈, None, max, =, K, ∥, n, R, v, {, }, |}",Life sciences
2205,Vitali covering lemma,"{⊆, B, ⋃, J, ∈, j, ′}",Life sciences
2206,Viviani's curve,"{a, +, y, x, z, =}",Life sciences
2207,Volatility smile,"{a, A, C, F, +, M, l, R, T, y, x, =}",Life sciences
2208,Volodin space,"{B, ⋃, ), (, σ, ,, n, R, U, X, =}",Life sciences
2209,Volterra integral equation,"{a, ∫, d, f, ), (, K, ,, s, t, x, =}",Life sciences
2210,Von Neumann algebra,"{′, ), (, M, N, ⊗, =}",Life sciences
2211,Von Neumann entropy,"{log, Tr, ρ, S, ⁡, −, =}",Life sciences
2212,Von Neumann's theorem,"{), (, =, T, ∗}",Life sciences
2214,Wallis product,"{⋅, ∏, ), (, +, π, n, ∞, −, =}",Life sciences
2215,Wallis' integrals,"{∫, d, ), (, n, W, ⁡, x, π, =, sin}",Physical sciences
2216,Wannier function,"{⋅, e, ψ, i, (, k, ), r, u, =}",Physical sciences
2217,Washburn's equation,"{d, g, ), h, K, ,, S, T, (, ≤}",Life sciences
2218,Water splitting,"{a, e, H, +, ⇌, O, t}",Applied sciences
2219,Wave field synthesis,"{A, ′, d, G, ), (, ∂, ,, n, P, w, −, z, =, |, ∬}",Life sciences
2220,Wave front set,"{∈, C, −, f, ), (, ≤, ∧, N, ξ, ϕ, Γ, +, |}",Life sciences
2221,Wavelet vanishing moment,"{≦, f, ), =, K, |, p, t, v, (, α, −, +, ε}",Applied sciences
2222,Waveshaper,"{a, f, ), (, t, y, x, =}",Society
2224,Weak solution,"{), (, +, ∂, u, t, x, =}",Life sciences
2225,Weak topology,"{′, ), (, σ, ≃, ,, Y, X}",Life sciences
2226,Weibull distribution,"{None, e, f, ), (, k, ≥, ,, /, λ, ;, x, {, −, =, <}",Applied sciences
2227,Weierstrass factorization theorem,"{a, −, e, ∏, f, ), h, +, ⋯, n, p, λ, (, exp, ∞, z, =, ⁡}",Life sciences
2228,Weierstrass point,"{), (, ,, L, P, …}",Life sciences
2230,Weighted average cost of carbon,"{a, C, E, ), (, +, L, o, /, V, =, ∗}",Professional studies
2231,Weighted sum model,"{a, A, i, j, m, ,, n, w, …, ∑, =}",Life sciences
2232,Weil cohomology theory,"{C, ), i, H, n, ⊗, →, (, X, −}",Life sciences
2233,Weil restriction,"{e, S, =, k, L, /, ), s, R, (, X, ×}",Life sciences
2234,Weinberg angle,"{), G, F, i, m, M, /, p, s, R, (, =}",Physical sciences
2235,Weinberg–Witten theorem,"{lim, e, H, ], →, r, T, ∞, β, −, =, [}",Life sciences
2236,Weingarten equations,"{∂, ,, r, u, v, =}",Life sciences
2237,Weyl tensor,"{C, g, i, (, k, m, n, ), R, ℓ, −, =, +}",Life sciences
2238,Weyl's inequality,"{a, c, ≤, ,, /, q, t, −, |}",Life sciences
2239,Weyl–Brauer matrices,"{), (, k, ⋯, n, q, p, +}",Life sciences
2240,Wheeler–Feynman absorber theory,"{), (, +, J, O, π, q, →, S, r, :}",Physical sciences
2241,White noise,"{a, ∫, w, ), =, +, ,, r, t, W, (, [, ], d}",Life sciences
2242,White's law,"{k, n, N, =, K, ^}",Humanities
2243,Wick rotation,"{−, d, ), (, +, s, t, y, x, z, =}",Physical sciences
2244,Widom scaling,"{f, ), (, M, ,, o, ≃, ↑, r, t, β, −}",Physical sciences
2245,Wiedemann–Franz law,"{=, κ, σ, L, T}",Physical sciences
2246,Wien's displacement law,"{λ, b, =, T}",Physical sciences
2247,Wiener equation,"{d, g, ), (, t, v, x, =}",Life sciences
2248,Wiener–Hopf method,"{C, −, d, i, (, +, ∫, Φ, π, ), α, z, =}",Life sciences
2250,Wigner's theorem,"{Ψ, ∈, e, i, H, =, ∅, ,, ≠, R, α, {, }, |, _}",Life sciences
2251,Wilhelmy plate,"{cos, F, ), (, l, θ, ⁡, γ, =}",Applied sciences
2252,Wilkinson matrix,"{B, F, ×, q, v, =}",Life sciences
2253,Wilkinson's polynomial,"{∏, i, (, ⋯, ), w, x, −, =}",Applied sciences
2254,Williams %R,"{a, c, e, d, g, i, h, l, o, N, s, R, t, w, ×, y, %, −, =}",Life sciences
2256,Wiman's sextic,"{), (, +, y, x, z, =}",Life sciences
2257,Wind chill,"{a, ⋅, C, I, (, +, ), T, W, V, −, =}",Physical sciences
2259,Wishart distribution,"{), i, (, …, ,, N, p, ∼, X, V, x, =}",Life sciences
2260,Wold's decomposition,"{A, ∈, ), (, ⊕, S, U, V, α, =}",Life sciences
2261,Wold's theorem,"{b, +, j, ∑, t, ∞, Y, −, =, ε, η}",Auxiliary sciences of history
2262,Wolfram axiom,"{a, c, b, ), (, =, |}",Life sciences
2263,Womersley number,"{ω, ), (, L, ρ, μ, α, =}",Life sciences
2264,Wonderland model,"{−, ), (, +, ,, y, x, z, =}",Life sciences
2265,Wood method,"{c, i, +, ,, =, K, η}",Professional studies
2266,Woodall number,"{−, =, W, n}",Life sciences
2267,Woodbury matrix identity,"{A, C, ), (, +, U, V, −, =}",Life sciences
2268,Wrapped Lévy distribution,"{i, (, j, ), x, ϕ, −}",Life sciences
2269,Y-Δ transform,"{a, c, b, +, R, =}",Physical sciences
2270,YIQ,"{∈, B, G, I, ,, Q, R, Y, [, −, ]}",Applied sciences
2271,Yang–Mills theory,"{a, g, f, ), (, F, Tr, L, μ, ν, ⁡, −, =}",Physical sciences
2272,Yang–Mills–Higgs equations,"{A, D, F, ], +, ,, Φ, [, =, ∗}",Life sciences
2274,Young symmetrizer,"{∈, g, }, n, P, S, λ, {, =}",Life sciences
2275,Young tableau,"{!, dim, ∏, ∈, ), h, k, ⁡, o, n, λ, (, Y, x, π, =}",Life sciences
2276,Yukawa interaction,"{≈, g, ψ, i, ¯, V, ϕ, γ}",Physical sciences
2277,Yukawa potential,"{e, g, ), (, k, m, ,, r, V, −, =}",Physical sciences
2279,Z-test,"{E, S, =, σ, n}",Life sciences
2281,Zadoff–Chu sequence,"{−, ), (, +, j, ,, π, q, N, u, x, n, =}",Applied sciences
2282,Zariski topology,"{A, ∈, f, ), ∀, ∣, =, ,, n, S, (, V, x, {, }}",Life sciences
2283,Zeller's congruence,"{), h, K, J, m, q, ⌋, (, ⌊, −, =, +, mod}",Applied sciences
2284,Zero-crossing rate,"{c, z, ), (, −, s, R, t, ∑, r, =, <, T}",Life sciences
2285,Zero-fuel weight,"{B, F, +, O, T, W, Z, =}",Professional studies
2286,Zeta distribution,"{f, ), (, k, /, s, −, =, ζ}",Applied sciences
2287,Zeuthen strategy,"{+, λ, =, z, Å}",Applied sciences
2288,Zipf's law,"{f, ), H, k, ,, /, N, s, (, ∑, ;, n, =}",Humanities
2289,Zolotarev's lemma,"{a, p, ), (}",Life sciences
2290,Zone melting,"{a, o, c, e, g, f, i, k, O, n, S, r, t}",Physical sciences
3204,Čech-to-derived functor spectral sequence,"{E, F, ), H, +, ˇ, ,, q, p, ⇒, U, (, X, =}",Life sciences
3205,Ε-quadratic form,"{B, ), (, M, Q, →, T, ϵ, −, ⟶}",Life sciences
3209,−1,"{⋅, ), (, +, x, −, =}",Life sciences
